LINK,Arra-PianoCover,Arra-Remastered,Arra-ShortVersion,Arra,Arrapt2-RockVersion,Arrapt2,Arrapt3,Arrapt4,Arrapt5,Arrapt6
NAME,Arra - PianoCover,Arra - Remastered,Arra - ShortVersion,Arra,Arra pt. 2 - RockVersion,Arra pt. 2,Arra pt. 3,Arra pt. 4,Arra pt. 5,Arra pt. 6
ICON,REMIX,REMIX,SINGLE,SINGLE,REMIX,SINGLE,SINGLE,SINGLE,SINGLE,SINGLE
SUB,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David,[RL] David
