LINK,Baroque,Bolt,Break-Time,FunkyMarionette,Helium,HowSweet-Messenger,Milky-way,Pathetique,PureTone,School,Song4you,Sunshine,Telephone,Tempt,Tripping,Triptoheaven,TwinklingBell,Watercolor-painting,Wine-bottle,Xperia
NAME,Baroque,Bolt,Break Time,Funky Marionette,Helium,How Sweet - Messenger,Milky Way,Pathetique,Pure Tone,School,Song for you,Sunshine,Telephone,Tempt,Tripping,Trip to heaven,Twinkling Bell,Watercolor painting,Wine bottle,Xperia
ICON,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES,SAMPLES
SUB,Samsung,Samsung,Samsung,Samsung,Android,NewJeans,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Samsung,Sony
